Date,Symbol,High_Risk_Score,High_Risk_Score_Sharpe,High_Risk_Score_HoldPeriod,Close_Price,Cap_Size,Sector,Industry,source
2024-08-13,MQ,0.013504167828783683,2.0792197677965643,13.0,5.27,Small,Commercial Services,Miscellaneous Commercial Services,validate_oot
2024-08-13,AGI,0.013476036019754854,2.2163841988896604,11.666666666666666,18.49,Small,Non-Energy Minerals,Precious Metals,validate_oot
2024-08-13,AXSM,0.013464409084543291,2.1068474661866237,11.0,84.85,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,ITCI,0.013417850067675206,1.780117146611678,12.0,75.33,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,RLAY,0.013401034544743241,1.7486724687369104,9.666666666666666,6.56,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,ANF,0.013385507024050081,2.0364375870371667,9.0,153.57,Small,Retail Trade,Apparel/Footwear Retail,validate_oot
2024-08-13,ACAD,0.013371118805505693,1.6086820557447552,13.0,15.73,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,CGEM,0.013360412038849835,1.5797867966806178,7.666666666666667,16.29,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,VZIO,0.013276831005836492,2.1218070729298883,12.333333333333334,11.15,Small,Technology Services,Internet Software/Services,validate_oot
2024-08-13,BRFS,0.013267514083705939,2.149927203012538,10.333333333333334,4.16,Small,Consumer Non-Durables,Food: Meat/Fish/Dairy,validate_oot
2024-08-13,GDRX,0.01324887205322941,1.717987464100036,13.0,6.87,Small,Technology Services,Internet Software/Services,validate_oot
2024-08-13,JHG,0.013246303305131636,1.9931830793018313,10.0,34.84,Small,Finance,Investment Managers,validate_oot
2024-08-13,SYM,0.013245427166355303,1.7866911742449625,9.666666666666666,21.72,Small,Producer Manufacturing,Industrial Machinery,validate_oot
2024-08-13,HTZ,0.013208774802993095,1.8740612903323783,10.0,3.53,Small,Finance,Finance/Rental/Leasing,validate_oot
